doi,authors,year,venue,pillar,contextualizes,url,title
10.1073/pnas.1111471108,Morcos et al.,2011,PNAS,DCA foundations,Established DCA; we show its co-speciation requirement is the blocker for host-pathogen.,https://doi.org/10.1073/pnas.1111471108,Direct-coupling analysis of residue coevolution captures native contacts across many protein families
10.1371/journal.pone.0028766,Marks et al.,2011,PLoS ONE,DCA foundations,3D structure from sequence covariation — the paradigm our pairing barrier obstructs.,https://doi.org/10.1371/journal.pone.0028766,Protein 3D Structure Computed from Evolutionary Sequence Variation
10.7554/eLife.03430,Hopf et al.,2014,eLife,Coevolution for complexes,Coevolution gives inter-protein contacts when a paired MSA exists; ours cannot be built.,https://doi.org/10.7554/eLife.03430,Sequence co-evolution gives 3D contacts and structures of protein complexes
10.1093/bioinformatics/bty862,Hopf et al.,2018,Bioinformatics,Coevolution for complexes,EVcouplings framework — the standard toolchain we benchmark against and adapt.,https://doi.org/10.1093/bioinformatics/bty862,The EVcouplings Python framework for coevolutionary sequence analysis
10.1038/s41467-021-21636-z,Green et al.,2021,Nat Commun,Coevolution for complexes,"Residue-resolution interactions from genomic coevolution at scale — needs co-occurring genomes, which host-pathogen lacks.",https://doi.org/10.1038/s41467-021-21636-z,Large-scale discovery of protein interactions at residue resolution using co-evolution calculated from genomic sequences
10.1038/s41586-021-03819-2,Jumper et al.,2021,Nature,Structure prediction,AlphaFold2 — the learned-coevolution proxy; our AF3 pilot extends this to host-pathogen.,https://doi.org/10.1038/s41586-021-03819-2,Highly accurate protein structure prediction with AlphaFold
10.1126/science.abj8754,Baek et al.,2021,Science,Structure prediction,RoseTTAFold — parallel three-track approach in the same paradigm.,https://doi.org/10.1126/science.abj8754,Accurate prediction of protein structures and interactions using a three-track neural network
10.1101/2021.10.04.463034,Evans et al.,2021,bioRxiv,Structure prediction,AlphaFold-Multimer — complex prediction whose weak cross-species interface our signals target.,https://doi.org/10.1101/2021.10.04.463034,Protein complex prediction with AlphaFold-Multimer
10.1038/s41586-024-07487-w,Abramson et al.,2024,Nature,Structure prediction,AlphaFold3 — the exact tool in our Stage-3 pilot (iPTM 0.11-0.70 on host-pathogen).,https://doi.org/10.1038/s41586-024-07487-w,Accurate structure prediction of biomolecular interactions with AlphaFold 3
10.1126/science.ade2574,Lin et al.,2023,Science,Protein language models,ESM-2/ESMFold — the embeddings our benchmark is built on; we quantify where they fail cross-species.,https://doi.org/10.1126/science.ade2574,Evolutionary-scale prediction of atomic-level protein structure with a language model
10.1101/2021.07.09.450648,Meier et al.,2021,bioRxiv,Protein language models,ESM-1v zero-shot mutation effects — basis for our masked-LM constraint feature.,https://doi.org/10.1101/2021.07.09.450648,Language models enable zero-shot prediction of the effects of mutations on protein function
10.1101/2021.02.12.430858,Rao et al.,2021,bioRxiv,Protein language models,MSA Transformer — PLM route that partially rescues shallow alignments.,https://doi.org/10.1101/2021.02.12.430858,MSA Transformer
10.1073/pnas.2311887121,Lupo et al.,2024,PNAS,MSA pairing (the barrier),DiffPALM: masked-LM MSA pairing WITHOUT a species tree — the most direct answer to our central obstacle; our staged GPU method.,https://doi.org/10.1073/pnas.2311887121,Pairing interacting protein sequences using masked language modeling
10.1038/s41467-022-28865-w,Bryant et al.,2022,Nat Commun,PPI prediction,Improved PPI prediction with AF2 + pDockQ — the confidence-scoring approach our pilot adopts.,https://doi.org/10.1038/s41467-022-28865-w,Improved prediction of protein-protein interactions using AlphaFold2
10.1126/science.abm4805,Humphreys et al.,2021,Science,PPI prediction,Proteome-scale computed complexes via coevolution+AF — the within-proteome success our cross-kingdom setting cannot replicate.,https://doi.org/10.1126/science.abm4805,Computed structures of core eukaryotic protein complexes
10.1110/ps.073228407,Davis et al.,2007,Protein Sci,Host-pathogen PPI,Host-pathogen interactions by comparative modeling / interolog — the pre-DL baseline for our task.,https://doi.org/10.1110/ps.073228407,Host–pathogen protein interactions predicted by comparative modeling
10.1093/nar/gkn794,Navratil et al.,2008,Nucleic Acids Res,Host-pathogen PPI,VirHostNet — a source resource for the virus-host interaction corpus.,https://doi.org/10.1093/nar/gkn794,VirHostNet: a knowledge base for the management and the analysis of proteome-wide virus–host interaction networks
10.1016/j.cell.2020.08.012,Starr et al.,2020,Cell,SARS-CoV-2 DMS,Deep mutational scan of RBD-ACE2 — the closest prior art; independently establishes interface constraint our strain-entropy signal reads out.,https://doi.org/10.1016/j.cell.2020.08.012,Deep Mutational Scanning of SARS-CoV-2 Receptor Binding Domain Reveals Constraints on Folding and ACE2 Binding
10.1016/j.chom.2020.11.007,Greaney et al.,2021,Cell Host Microbe,SARS-CoV-2 DMS,Complete escape mapping of RBD — the immune-escape pressure our signal detects; explains why our covariation != contact.,https://doi.org/10.1016/j.chom.2020.11.007,Complete Mapping of Mutations to the SARS-CoV-2 Spike Receptor-Binding Domain that Escape Antibody Recognition
10.1038/s41579-021-00573-0,Harvey et al.,2021,Nat Rev Microbiol,SARS-CoV-2 escape,Reviews spike mutation / immune escape — the population-scale variation our entropy measures.,https://doi.org/10.1038/s41579-021-00573-0,"SARS-CoV-2 variants, spike mutations and immune escape"
